sorted_opacity shape: torch.Size([1280, 1]), gauss_weight shape: torch.Size([64, 1280])
sorted_opacity shape: torch.Size([1127, 1]), gauss_weight shape: torch.Size([64, 1127])
sorted_opacity shape: torch.Size([964, 1]), gauss_weight shape: torch.Size([64, 964])
sorted_opacity shape: torch.Size([816, 1]), gauss_weight shape: torch.Size([64, 816])
sorted_opacity shape: torch.Size([695, 1]), gauss_weight shape: torch.Size([64, 695])
sorted_opacity shape: torch.Size([523, 1]), gauss_weight shape: torch.Size([64, 523])
sorted_opacity shape: torch.Size([362, 1]), gauss_weight shape: torch.Size([64, 362])
sorted_opacity shape: torch.Size([238, 1]), gauss_weight shape: torch.Size([64, 238])
sorted_opacity shape: torch.Size([138, 1]), gauss_weight shape: torch.Size([64, 138])
sorted_opacity shape: torch.Size([84, 1]), gauss_weight shape: torch.Size([64, 84])
sorted_opacity shape: torch.Size([64, 1]), gauss_weight shape: torch.Size([64, 64])
sorted_opacity shape: torch.Size([49, 1]), gauss_weight shape: torch.Size([64, 49])
sorted_opacity shape: torch.Size([47, 1]), gauss_weight shape: torch.Size([64, 47])
sorted_opacity shape: torch.Size([34, 1]), gauss_weight shape: torch.Size([64, 34])
sorted_opacity shape: torch.Size([28, 1]), gauss_weight shape: torch.Size([64, 28])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([22, 1]), gauss_weight shape: torch.Size([64, 22])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([64, 17])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([64, 33])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([64, 41])
sorted_opacity shape: torch.Size([49, 1]), gauss_weight shape: torch.Size([64, 49])
sorted_opacity shape: torch.Size([56, 1]), gauss_weight shape: torch.Size([64, 56])
sorted_opacity shape: torch.Size([66, 1]), gauss_weight shape: torch.Size([64, 66])
sorted_opacity shape: torch.Size([79, 1]), gauss_weight shape: torch.Size([64, 79])
sorted_opacity shape: torch.Size([89, 1]), gauss_weight shape: torch.Size([64, 89])
sorted_opacity shape: torch.Size([137, 1]), gauss_weight shape: torch.Size([64, 137])
